Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BROWN COUNTY,9,1992,"2,488","2,334",154,6.2,,,,,,,,,,,,,,
BUREAU COUNTY,11,1992,"18,383","17,183","1,200",6.5,,,,,,,,,,,,,,
CALHOUN COUNTY,13,1992,"2,723","2,461",262,9.6,,,,,,,,,,,,,,
CARROLL COUNTY,15,1992,"8,487","7,940",547,6.4,,,,,,,,,,,,,,
CASS COUNTY,17,1992,"7,177","6,600",577,8.0,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,1992,"95,418","91,666","3,752",3.9,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,1992,"18,411","16,972","1,439",7.8,,,,,,,,,,,,,,
CLARK COUNTY,23,1992,"9,347","8,687",660,7.1,,,,,,,,,,,,,,
CLAY COUNTY,25,1992,"7,009","6,395",614,8.8,,,,,,,,,,,,,,
CLINTON COUNTY,27,1992,"16,700","15,584","1,116",6.7,,,,,,,,,,,,,,
COLES COUNTY,29,1992,"26,748","25,145","1,603",6.0,,,,,,,,,,,,,,
COOK COUNTY,31,1992,"2,623,242","2,390,292","232,950",8.9,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,1992,"10,010","9,229",781,7.8,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,1992,"5,369","4,924",445,8.3,,,,,,,,,,,,,,
DEKALB COUNTY,37,1992,"43,318","40,426","2,892",6.7,,,,,,,,,,,,,,
DE WITT COUNTY,39,1992,"8,968","8,327",641,7.1,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,1992,"10,529","9,792",737,7.0,,,,,,,,,,,,,,
DUPAGE COUNTY,43,1992,"470,571","443,352","27,219",5.8,,,,,,,,,,,,,,
EDGAR COUNTY,45,1992,"9,034","8,245",789,8.7,,,,,,,,,,,,,,
EDWARDS COUNTY,47,1992,"3,688","3,413",275,7.5,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,1992,"17,299","15,751","1,548",8.9,,,,,,,,,,,,,,
FAYETTE COUNTY,51,1992,"10,184","9,255",929,9.1,,,,,,,,,,,,,,
FORD COUNTY,53,1992,"7,085","6,684",401,5.7,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,1992,"16,871","14,654","2,217",13.1,,,,,,,,,,,,,,
FULTON COUNTY,57,1992,"14,842","13,245","1,597",10.8,,,,,,,,,,,,,,
GALLATIN COUNTY,59,1992,"3,057","2,686",371,12.1,,,,,,,,,,,,,,
GREENE COUNTY,61,1992,"7,009","6,541",468,6.7,,,,,,,,,,,,,,
GRUNDY COUNTY,63,1992,"17,667","15,562","2,105",11.9,,,,,,,,,,,,,,
HAMILTON COUNTY,65,1992,"3,660","3,215",445,12.2,,,,,,,,,,,,,,
HANCOCK COUNTY,67,1992,"10,937","10,200",737,6.7,,,,,,,,,,,,,,
HARDIN COUNTY,69,1992,"1,987","1,822",165,8.3,,,,,,,,,,,,,,
HENDERSON COUNTY,71,1992,"4,740","4,450",290,6.1,,,,,,,,,,,,,,
HENRY COUNTY,73,1992,"26,627","24,744","1,883",7.1,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,1992,"16,940","15,944",996,5.9,,,,,,,,,,,,,,
JACKSON COUNTY,77,1992,"29,879","27,662","2,217",7.4,,,,,,,,,,,,,,
JASPER COUNTY,79,1992,"4,947","4,593",354,7.2,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,1992,"17,791","15,797","1,994",11.2,,,,,,,,,,,,,,
JERSEY COUNTY,83,1992,"10,301","9,579",722,7.0,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,1992,"11,892","11,271",621,5.2,,,,,,,,,,,,,,
JOHNSON COUNTY,87,1992,"4,337","3,840",497,11.5,,,,,,,,,,,,,,
KANE COUNTY,89,1992,"181,681","166,407","15,274",8.4,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,1992,"49,997","45,828","4,169",8.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,1992,"22,863","21,392","1,471",6.4,,,,,,,,,,,,,,
KNOX COUNTY,95,1992,"29,797","27,788","2,009",6.7,,,,,,,,,,,,,,
LAKE COUNTY,97,1992,"291,994","276,566","15,428",5.3,,,,,,,,,,,,,,
LASALLE COUNTY,99,1992,"54,473","49,132","5,341",9.8,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,1992,"7,212","6,540",672,9.3,,,,,,,,,,,,,,
LEE COUNTY,103,1992,"16,847","15,787","1,060",6.3,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,1992,"20,001","19,011",990,4.9,,,,,,,,,,,,,,
LOGAN COUNTY,107,1992,"13,838","12,891",947,6.8,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,1992,"18,375","17,720",655,3.6,,,,,,,,,,,,,,
MCHENRY COUNTY,111,1992,"110,699","102,679","8,020",7.2,,,,,,,,,,,,,,
MCLEAN COUNTY,113,1992,"77,678","74,633","3,045",3.9,,,,,,,,,,,,,,
MACON COUNTY,115,1992,"61,691","56,300","5,391",8.7,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,1992,"23,495","21,618","1,877",8.0,,,,,,,,,,,,,,
MADISON COUNTY,119,1992,"127,195","117,795","9,400",7.4,,,,,,,,,,,,,,
MARION COUNTY,121,1992,"20,780","18,678","2,102",10.1,,,,,,,,,,,,,,
MARSHALL COUNTY,123,1992,"6,988","6,564",424,6.1,,,,,,,,,,,,,,
MASON COUNTY,125,1992,"7,850","6,999",851,10.8,,,,,,,,,,,,,,
MASSAC COUNTY,127,1992,"6,999","6,395",604,8.6,,,,,,,,,,,,,,
MENARD COUNTY,129,1992,"6,160","5,860",300,4.9,,,,,,,,,,,,,,
MERCER COUNTY,131,1992,"8,598","7,857",741,8.6,,,,,,,,,,,,,,
MONROE COUNTY,133,1992,"12,504","11,684",820,6.6,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,1992,"15,017","13,743","1,274",8.5,,,,,,,,,,,,,,
MORGAN COUNTY,137,1992,"18,786","17,696","1,090",5.8,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,1992,"7,594","7,083",511,6.7,,,,,,,,,,,,,,
OGLE COUNTY,141,1992,"25,866","24,135","1,731",6.7,,,,,,,,,,,,,,
PEORIA COUNTY,143,1992,"93,080","86,615","6,465",6.9,,,,,,,,,,,,,,
PERRY COUNTY,145,1992,"8,521","7,155","1,366",16.0,,,,,,,,,,,,,,
PIATT COUNTY,147,1992,"8,810","8,215",595,6.8,,,,,,,,,,,,,,
PIKE COUNTY,149,1992,"8,678","8,014",664,7.7,,,,,,,,,,,,,,
POPE COUNTY,151,1992,"1,673","1,478",195,11.7,,,,,,,,,,,,,,
PULASKI COUNTY,153,1992,"2,988","2,626",362,12.1,,,,,,,,,,,,,,
PUTNAM COUNTY,155,1992,"3,042","2,807",235,7.7,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,1992,"15,729","14,133","1,596",10.1,,,,,,,,,,,,,,
RICHLAND COUNTY,159,1992,"9,155","8,626",529,5.8,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,1992,"76,468","70,909","5,559",7.3,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,1992,"118,055","108,302","9,753",8.3,,,,,,,,,,,,,,
SALINE COUNTY,165,1992,"11,115","9,795","1,320",11.9,,,,,,,,,,,,,,
SANGAMON COUNTY,167,1992,"104,739","99,609","5,130",4.9,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,1992,"3,851","3,572",279,7.2,,,,,,,,,,,,,,
SCOTT COUNTY,171,1992,"2,855","2,634",221,7.7,,,,,,,,,,,,,,
SHELBY COUNTY,173,1992,"11,045","10,165",880,8.0,,,,,,,,,,,,,,
STARK COUNTY,175,1992,"3,055","2,808",247,8.1,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,1992,"26,345","24,407","1,938",7.4,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,1992,"66,495","61,912","4,583",6.9,,,,,,,,,,,,,,
UNION COUNTY,181,1992,"8,333","7,364",969,11.6,,,,,,,,,,,,,,
VERMILION COUNTY,183,1992,"41,977","37,769","4,208",10.0,,,,,,,,,,,,,,
WABASH COUNTY,185,1992,"6,050","5,339",711,11.8,,,,,,,,,,,,,,
WARREN COUNTY,187,1992,"10,115","9,562",553,5.5,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,1992,"7,522","7,025",497,6.6,,,,,,,,,,,,,,
WAYNE COUNTY,191,1992,"8,332","7,584",748,9.0,,,,,,,,,,,,,,
WHITE COUNTY,193,1992,"7,861","7,188",673,8.6,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,1992,"31,714","29,778","1,936",6.1,,,,,,,,,,,,,,
WILL COUNTY,197,1992,"195,838","178,664","17,174",8.8,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,1992,"27,256","24,352","2,904",10.7,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,1992,"144,149","132,665","11,484",8.0,,,,,,,,,,,,,,
WOODFORD COUNTY,203,1992,"17,288","16,544",744,4.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,1991,"33,791","31,913","1,878",5.6,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,1991,"4,325","3,780",545,12.6,,,,,,,,,,,,,,
BOND COUNTY,5,1991,"7,588","6,959",629,8.3,,,,,,,,,,,,,,
BOONE COUNTY,7,1991,"18,151","16,370","1,781",9.8,,,,,,,,,,,,,,
BROWN COUNTY,9,1991,"2,428","2,290",138,5.7,,,,,,,,,,,,,,
BUREAU COUNTY,11,1991,"18,225","16,999","1,226",6.7,,,,,,,,,,,,,,
CALHOUN COUNTY,13,1991,"2,713","2,458",255,9.4,,,,,,,,,,,,,,
CARROLL COUNTY,15,1991,"8,371","7,797",574,6.9,,,,,,,,,,,,,,
CASS COUNTY,17,1991,"6,934","6,393",541,7.8,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,1991,"95,230","91,869","3,361",3.5,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,1991,"17,622","16,415","1,207",6.8,,,,,,,,,,,,,,
CLARK COUNTY,23,1991,"8,906","8,276",630,7.1,,,,,,,,,,,,,,
CLAY COUNTY,25,1991,"6,948","6,355",593,8.5,,,,,,,,,,,,,,
CLINTON COUNTY,27,1991,"16,706","15,528","1,178",7.1,,,,,,,,,,,,,,
COLES COUNTY,29,1991,"26,395","24,970","1,425",5.4,,,,,,,,,,,,,,
COOK COUNTY,31,1991,"2,592,809","2,379,989","212,820",8.2,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,1991,"8,968","8,120",848,9.5,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,1991,"5,340","4,890",450,8.4,,,,,,,,,,,,,,
DEKALB COUNTY,37,1991,"42,863","40,070","2,793",6.5,,,,,,,,,,,,,,
DE WITT COUNTY,39,1991,"8,810","8,194",616,7.0,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,1991,"10,819","10,245",574,5.3,,,,,,,,,,,,,,
DUPAGE COUNTY,43,1991,"459,527","435,787","23,740",5.2,,,,,,,,,,,,,,
EDGAR COUNTY,45,1991,"9,670","8,930",740,7.7,,,,,,,,,,,,,,
EDWARDS COUNTY,47,1991,"3,722","3,378",344,9.2,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,1991,"16,942","15,646","1,296",7.6,,,,,,,,,,,,,,
FAYETTE COUNTY,51,1991,"9,917","9,080",837,8.4,,,,,,,,,,,,,,
FORD COUNTY,53,1991,"6,918","6,514",404,5.8,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,1991,"16,925","14,816","2,109",12.5,,,,,,,,,,,,,,
FULTON COUNTY,57,1991,"14,799","13,370","1,429",9.7,,,,,,,,,,,,,,
GALLATIN COUNTY,59,1991,"3,016","2,750",266,8.8,,,,,,,,,,,,,,
GREENE COUNTY,61,1991,"7,230","6,751",479,6.6,,,,,,,,,,,,,,
GRUNDY COUNTY,63,1991,"17,128","15,311","1,817",10.6,,,,,,,,,,,,,,
HAMILTON COUNTY,65,1991,"3,651","3,234",417,11.4,,,,,,,,,,,,,,
HANCOCK COUNTY,67,1991,"11,355","10,737",618,5.4,,,,,,,,,,,,,,
HARDIN COUNTY,69,1991,"1,975","1,839",136,6.9,,,,,,,,,,,,,,
HENDERSON COUNTY,71,1991,"4,614","4,320",294,6.4,,,,,,,,,,,,,,
HENRY COUNTY,73,1991,"26,554","24,699","1,855",7.0,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,1991,"16,645","15,821",824,5.0,,,,,,,,,,,,,,
JACKSON COUNTY,77,1991,"29,685","27,739","1,946",6.6,,,,,,,,,,,,,,
JASPER COUNTY,79,1991,"4,883","4,547",336,6.9,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,1991,"17,827","15,842","1,985",11.1,,,,,,,,,,,,,,
JERSEY COUNTY,83,1991,"10,216","9,510",706,6.9,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,1991,"11,136","10,513",623,5.6,,,,,,,,,,,,,,
JOHNSON COUNTY,87,1991,"4,297","3,810",487,11.3,,,,,,,,,,,,,,
KANE COUNTY,89,1991,"176,389","162,727","13,662",7.7,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,1991,"50,202","46,456","3,746",7.5,,,,,,,,,,,,,,
KENDALL COUNTY,93,1991,"22,274","20,942","1,332",6.0,,,,,,,,,,,,,,
KNOX COUNTY,95,1991,"29,199","27,246","1,953",6.7,,,,,,,,,,,,,,
LAKE COUNTY,97,1991,"288,382","274,628","13,754",4.8,,,,,,,,,,,,,,
LASALLE COUNTY,99,1991,"52,989","48,434","4,555",8.6,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,1991,"7,497","6,798",699,9.3,,,,,,,,,,,,,,
LEE COUNTY,103,1991,"16,825","15,723","1,102",6.5,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,1991,"19,810","18,966",844,4.3,,,,,,,,,,,,,,
LOGAN COUNTY,107,1991,"14,139","13,298",841,5.9,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,1991,"18,096","17,418",678,3.7,,,,,,,,,,,,,,
MCHENRY COUNTY,111,1991,"106,223","98,966","7,257",6.8,,,,,,,,,,,,,,
MCLEAN COUNTY,113,1991,"75,827","73,023","2,804",3.7,,,,,,,,,,,,,,
MACON COUNTY,115,1991,"61,257","56,263","4,994",8.2,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,1991,"22,953","21,223","1,730",7.5,,,,,,,,,,,,,,
MADISON COUNTY,119,1991,"126,714","117,653","9,061",7.2,,,,,,,,,,,,,,
MARION COUNTY,121,1991,"19,973","17,817","2,156",10.8,,,,,,,,,,,,,,
MARSHALL COUNTY,123,1991,"6,592","6,211",381,5.8,,,,,,,,,,,,,,
MASON COUNTY,125,1991,"8,032","7,243",789,9.8,,,,,,,,,,,,,,
MASSAC COUNTY,127,1991,"6,751","6,274",477,7.1,,,,,,,,,,,,,,
MENARD COUNTY,129,1991,"6,210","5,923",287,4.6,,,,,,,,,,,,,,
MERCER COUNTY,131,1991,"8,697","8,076",621,7.1,,,,,,,,,,,,,,
MONROE COUNTY,133,1991,"12,163","11,483",680,5.6,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,1991,"14,177","13,070","1,107",7.8,,,,,,,,,,,,,,
MORGAN COUNTY,137,1991,"19,262","18,363",899,4.7,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,1991,"7,203","6,738",465,6.5,,,,,,,,,,,,,,
OGLE COUNTY,141,1991,"25,689","24,036","1,653",6.4,,,,,,,,,,,,,,
PEORIA COUNTY,143,1991,"92,461","86,767","5,694",6.2,,,,,,,,,,,,,,
PERRY COUNTY,145,1991,"8,950","7,608","1,342",15.0,,,,,,,,,,,,,,
PIATT COUNTY,147,1991,"8,353","7,882",471,5.6,,,,,,,,,,,,,,
PIKE COUNTY,149,1991,"8,524","7,952",572,6.7,,,,,,,,,,,,,,
POPE COUNTY,151,1991,"1,713","1,529",184,10.7,,,,,,,,,,,,,,
PULASKI COUNTY,153,1991,"3,009","2,671",338,11.2,,,,,,,,,,,,,,
PUTNAM COUNTY,155,1991,"3,016","2,784",232,7.7,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,1991,"15,935","14,738","1,197",7.5,,,,,,,,,,,,,,
RICHLAND COUNTY,159,1991,"8,557","8,007",550,6.4,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,1991,"75,424","70,726","4,698",6.2,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,1991,"117,636","108,540","9,096",7.7,,,,,,,,,,,,,,
SALINE COUNTY,165,1991,"11,075","9,984","1,091",9.9,,,,,,,,,,,,,,
SANGAMON COUNTY,167,1991,"105,411","101,177","4,234",4.0,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,1991,"3,686","3,423",263,7.1,,,,,,,,,,,,,,
SCOTT COUNTY,171,1991,"2,883","2,690",193,6.7,,,,,,,,,,,,,,
SHELBY COUNTY,173,1991,"10,998","10,123",875,8.0,,,,,,,,,,,,,,
STARK COUNTY,175,1991,"2,701","2,479",222,8.2,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,1991,"25,547","23,892","1,655",6.5,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,1991,"65,526","61,561","3,965",6.1,,,,,,,,,,,,,,
UNION COUNTY,181,1991,"8,237","7,352",885,10.7,,,,,,,,,,,,,,
VERMILION COUNTY,183,1991,"41,713","38,003","3,710",8.9,,,,,,,,,,,,,,
WABASH COUNTY,185,1991,"6,118","5,283",835,13.6,,,,,,,,,,,,,,
WARREN COUNTY,187,1991,"9,943","9,376",567,5.7,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,1991,"7,691","7,085",606,7.9,,,,,,,,,,,,,,
WAYNE COUNTY,191,1991,"8,336","7,596",740,8.9,,,,,,,,,,,,,,
WHITE COUNTY,193,1991,"7,500","6,845",655,8.7,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,1991,"31,471","29,309","2,162",6.9,,,,,,,,,,,,,,
WILL COUNTY,197,1991,"189,245","174,825","14,420",7.6,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,1991,"26,763","24,251","2,512",9.4,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,1991,"142,637","132,515","10,122",7.1,,,,,,,,,,,,,,
WOODFORD COUNTY,203,1991,"17,140","16,535",605,3.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,1990,"34,115","32,478","1,637",4.8,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,1990,"4,118","3,625",493,12.0,,,,,,,,,,,,,,
BOND COUNTY,5,1990,"7,689","7,129",560,7.3,,,,,,,,,,,,,,
BOONE COUNTY,7,1990,"17,706","16,492","1,214",6.9,,,,,,,,,,,,,,
BROWN COUNTY,9,1990,"2,482","2,330",152,6.1,,,,,,,,,,,,,,
BUREAU COUNTY,11,1990,"17,653","16,725",928,5.3,,,,,,,,,,,,,,
CALHOUN COUNTY,13,1990,"2,252","2,014",238,10.6,,,,,,,,,,,,,,
CARROLL COUNTY,15,1990,"8,518","8,072",446,5.2,,,,,,,,,,,,,,
CASS COUNTY,17,1990,"6,800","6,237",563,8.3,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,1990,"94,613","91,909","2,704",2.9,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,1990,"18,293","17,391",902,4.9,,,,,,,,,,,,,,
CLARK COUNTY,23,1990,"8,677","8,068",609,7.0,,,,,,,,,,,,,,
CLAY COUNTY,25,1990,"6,761","6,128",633,9.4,,,,,,,,,,,,,,
CLINTON COUNTY,27,1990,"17,027","15,994","1,033",6.1,,,,,,,,,,,,,,
COLES COUNTY,29,1990,"26,300","24,913","1,387",5.3,,,,,,,,,,,,,,
COOK COUNTY,31,1990,"2,616,824","2,431,472","185,352",7.1,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,1990,"9,055","8,280",775,8.6,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,1990,"5,301","4,846",455,8.6,,,,,,,,,,,,,,
DEKALB COUNTY,37,1990,"42,616","40,571","2,045",4.8,,,,,,,,,,,,,,
DE WITT COUNTY,39,1990,"8,426","7,971",455,5.4,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,1990,"10,080","9,664",416,4.1,,,,,,,,,,,,,,
DUPAGE COUNTY,43,1990,"455,650","437,811","17,839",3.9,,,,,,,,,,,,,,
EDGAR COUNTY,45,1990,"9,679","8,950",729,7.5,,,,,,,,,,,,,,
EDWARDS COUNTY,47,1990,"3,685","3,453",232,6.3,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,1990,"16,631","15,543","1,088",6.5,,,,,,,,,,,,,,
FAYETTE COUNTY,51,1990,"9,661","8,827",834,8.6,,,,,,,,,,,,,,
FORD COUNTY,53,1990,"7,164","6,867",297,4.1,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,1990,"17,498","15,160","2,338",13.4,,,,,,,,,,,,,,
FULTON COUNTY,57,1990,"15,071","13,878","1,193",7.9,,,,,,,,,,,,,,
GALLATIN COUNTY,59,1990,"2,925","2,687",238,8.1,,,,,,,,,,,,,,
GREENE COUNTY,61,1990,"7,216","6,812",404,5.6,,,,,,,,,,,,,,
GRUNDY COUNTY,63,1990,"16,788","15,304","1,484",8.8,,,,,,,,,,,,,,
HAMILTON COUNTY,65,1990,"3,608","3,259",349,9.7,,,,,,,,,,,,,,
HANCOCK COUNTY,67,1990,"10,949","10,423",526,4.8,,,,,,,,,,,,,,
HARDIN COUNTY,69,1990,"1,948","1,790",158,8.1,,,,,,,,,,,,,,
HENDERSON COUNTY,71,1990,"4,194","3,951",243,5.8,,,,,,,,,,,,,,
HENRY COUNTY,73,1990,"26,314","24,918","1,396",5.3,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,1990,"15,311","14,594",717,4.7,,,,,,,,,,,,,,
JACKSON COUNTY,77,1990,"30,323","28,484","1,839",6.1,,,,,,,,,,,,,,
JASPER COUNTY,79,1990,"5,008","4,729",279,5.6,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,1990,"17,726","15,935","1,791",10.1,,,,,,,,,,,,,,
JERSEY COUNTY,83,1990,"10,290","9,721",569,5.5,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,1990,"11,478","11,008",470,4.1,,,,,,,,,,,,,,
JOHNSON COUNTY,87,1990,"4,304","3,858",446,10.4,,,,,,,,,,,,,,
KANE COUNTY,89,1990,"173,189","163,138","10,051",5.8,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,1990,"48,910","45,815","3,095",6.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,1990,"21,914","20,955",959,4.4,,,,,,,,,,,,,,
KNOX COUNTY,95,1990,"29,357","27,525","1,832",6.2,,,,,,,,,,,,,,
LAKE COUNTY,97,1990,"288,664","277,909","10,755",3.7,,,,,,,,,,,,,,
LASALLE COUNTY,99,1990,"51,555","47,488","4,067",7.9,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,1990,"7,116","6,523",593,8.3,,,,,,,,,,,,,,
LEE COUNTY,103,1990,"16,734","15,941",793,4.7,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,1990,"19,400","18,809",591,3.0,,,,,,,,,,,,,,
LOGAN COUNTY,107,1990,"14,195","13,463",732,5.2,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,1990,"16,865","16,320",545,3.2,,,,,,,,,,,,,,
MCHENRY COUNTY,111,1990,"102,855","97,430","5,425",5.3,,,,,,,,,,,,,,
MCLEAN COUNTY,113,1990,"74,590","72,175","2,415",3.2,,,,,,,,,,,,,,
MACON COUNTY,115,1990,"60,236","56,438","3,798",6.3,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,1990,"23,460","22,021","1,439",6.1,,,,,,,,,,,,,,
MADISON COUNTY,119,1990,"128,227","120,551","7,676",6.0,,,,,,,,,,,,,,
MARION COUNTY,121,1990,"19,778","17,595","2,183",11.0,,,,,,,,,,,,,,
MARSHALL COUNTY,123,1990,"6,393","6,126",267,4.2,,,,,,,,,,,,,,
MASON COUNTY,125,1990,"7,696","7,168",528,6.9,,,,,,,,,,,,,,
MASSAC COUNTY,127,1990,"6,615","6,167",448,6.8,,,,,,,,,,,,,,
MENARD COUNTY,129,1990,"6,089","5,847",242,4.0,,,,,,,,,,,,,,
MERCER COUNTY,131,1990,"8,632","8,108",524,6.1,,,,,,,,,,,,,,
MONROE COUNTY,133,1990,"12,341","11,631",710,5.8,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,1990,"14,170","13,154","1,016",7.2,,,,,,,,,,,,,,
MORGAN COUNTY,137,1990,"19,173","18,423",750,3.9,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,1990,"6,875","6,486",389,5.7,,,,,,,,,,,,,,
OGLE COUNTY,141,1990,"25,607","24,335","1,272",5.0,,,,,,,,,,,,,,
PEORIA COUNTY,143,1990,"92,529","87,834","4,695",5.1,,,,,,,,,,,,,,
PERRY COUNTY,145,1990,"9,505","8,349","1,156",12.2,,,,,,,,,,,,,,
PIATT COUNTY,147,1990,"8,529","8,135",394,4.6,,,,,,,,,,,,,,
PIKE COUNTY,149,1990,"8,728","8,165",563,6.5,,,,,,,,,,,,,,
POPE COUNTY,151,1990,"1,620","1,462",158,9.8,,,,,,,,,,,,,,
PULASKI COUNTY,153,1990,"2,892","2,583",309,10.7,,,,,,,,,,,,,,
PUTNAM COUNTY,155,1990,"2,930","2,733",197,6.7,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,1990,"15,754","14,551","1,203",7.6,,,,,,,,,,,,,,
RICHLAND COUNTY,159,1990,"8,311","7,751",560,6.7,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,1990,"74,740","71,055","3,685",4.9,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,1990,"120,946","112,239","8,707",7.2,,,,,,,,,,,,,,
SALINE COUNTY,165,1990,"10,665","9,653","1,012",9.5,,,,,,,,,,,,,,
SANGAMON COUNTY,167,1990,"103,866","100,333","3,533",3.4,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,1990,"3,552","3,257",295,8.3,,,,,,,,,,,,,,
SCOTT COUNTY,171,1990,"2,890","2,726",164,5.7,,,,,,,,,,,,,,
SHELBY COUNTY,173,1990,"10,764","10,091",673,6.3,,,,,,,,,,,,,,
STARK COUNTY,175,1990,"2,945","2,763",182,6.2,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,1990,"25,993","24,491","1,502",5.8,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,1990,"65,306","62,229","3,077",4.7,,,,,,,,,,,,,,
UNION COUNTY,181,1990,"8,349","7,484",865,10.4,,,,,,,,,,,,,,
VERMILION COUNTY,183,1990,"42,408","38,755","3,653",8.6,,,,,,,,,,,,,,
WABASH COUNTY,185,1990,"6,360","5,908",452,7.1,,,,,,,,,,,,,,
WARREN COUNTY,187,1990,"10,003","9,445",558,5.6,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,1990,"7,609","7,112",497,6.5,,,,,,,,,,,,,,
WAYNE COUNTY,191,1990,"8,376","7,606",770,9.2,,,,,,,,,,,,,,
WHITE COUNTY,193,1990,"7,319","6,684",635,8.7,,,,,,,,,,,,,,
